ParticipantID(1to12),Target(1to4),Angle-,Angle+
1,1,-0.079151,0.018782
1,2,-0.057142,0.010565
1,3,-0.050158,-0.017874
1,4,-0.072195,0.026864
2,1,-0.12442,-0.038749
2,2,-0.10299,-0.0023829
2,3,-0.035527,0.035527
2,4,-0.11482,0.0073005
3,1,-0.041933,0.10549
3,2,-0.070268,0.039915
3,3,-0.058824,0.074345
3,4,-0.0069656,0.097568
4,1,-0.13723,0.051002
4,2,-0.10646,0.12536
4,3,-0.037917,0.19059
4,4,-0.10596,0.072342
5,1,-0.076589,0.060974
5,2,-0.0041909,0.11083
5,3,0.026159,0.12371
5,4,0.01227,0.12461
6,1,-0.13959,-0.040616
6,2,-0.12442,-0.038749
6,3,-0.12442,-0.038749
6,4,-0.14084,-0.014488
7,1,-0.062439,0.062439
7,2,0.016008,0.10361
7,3,0.028941,0.18966
7,4,0.098321,0.19471
8,1,-0.02576,0.16615
8,2,-0.045033,0.10937
8,3,-0.019517,0.11286
8,4,-0.055636,0.1231
9,1,-0.081715,-0.026103
9,2,-0.053316,0.0058179
9,3,-0.092623,-0.012472
9,4,-0.04159,0.04159
10,1,-0.086168,0.16565
10,2,-0.05684,0.088454
10,3,-0.046072,0.11068
10,4,-0.077347,0.1777
11,1,-0.036682,0.066948
11,2,-0.040555,0.055687
11,3,-0.054624,0.0074741
11,4,-0.069866,0.0090232
12,1,-0.09526,-0.024753
12,2,-0.067488,0.0062763
12,3,-0.046145,0.046145
12,4,-0.057888,0.042757
